Numéro d'opération,Année ,Pays,Type de catastrophe,intitulé,Alerte et actions anticipées,Evaluations,Shelter,WatSan,Santé,Soutien Psy ,Télécoms,PPN,CASH,Autres ,Envoi RH ,bâches,kits abris,Tentes,kits cuisine,kits hygiène,kits nettoyage,couvertures,moustiquaires,tapis de sol,lits picots,jerrycans,seaux,lampes solaire,UTE,Kit 2 / Wash,EPI,DLM,Borne CO2,Tonnes (t),Volume (m3),détail ,Nombre bénéficiaires (en personnes),Bailleurs (et partenaires),,Budget total,Commentaires 
1,mars-00,Mozambique,Inondations,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,"5,5",,"Envoi et distribution via la FICR de 5,5 tonnes de matériel (eau, abris, santé)",,"Région Réunion (CR974), Conseil général Réunion (CG974)",68602,68602,
2,janv.-02,Réunion,Cyclone,Dina ,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"mise en place de réseaux de distrib eau potable + citernes de stockage.  distributions d'articles de première nécessité, soutien psychologique",, -,,,
3,janv.-02,Réunion,Volcan,Fournaise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soutien logistique à la DD Réunion,, -,,,
4,2002,Comores,Epidémie,Choléra,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,"2,7",,"Envoi d'un kit choléra (2,7 tonnes)
1 RH : santé",,CRF,,,
5,mars-03,Maurice -Rodrigues,Cyclone ,Kalunde,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,,,"1,5",,"Envoi de matériel watsan et télécoms 
2 RH : log et watsan",10000,"CR974, CG974, CRF",40880,40880,
6,mai-03,Madagascar,Cyclone ,Manou,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Distribution de matériel prépositionné à Madagascar (abris, kits familles, semences)
Traitement et distribution d’eau, curage des puits, soins médicaux, soutien psychologique",5500,"CR974, CG974, CRF",50000,50 000 €,
7,juin-03,Comores ,Inondations,île de Mohéli,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,," Réhabilitation du réseau d’adduction d'eau
1 RH : watsan ",20000,"CR974, CG974, Ambassade de France aux Comores",60000,60000,
8,mars-04,Madagascar,Cyclone ,Gafilo,,,1,1,1,,,1,,,4,,,,,,,,,,,,,,,,,,,4,,"Envoi de 4 tonnes de matériel (traitement d'eau, abris temporaires, kit logistique) 
Distributions
4 RH : 2 watsan, 1 médical, 1 coordinateur",36000,"CR974, CG974",120000,120 000 €,
9,déc.-04,Asie du Sud-Est / Pakistan,Tsunami,,,,,1,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,Détachement de 4 RH intégrées aux opérations dirigées par la FICR,,/,,,
10,avr.-05,Comores,Volcan ,"Karthala, Grande Comore",,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,"Sécurisation de citernes  
1 RH : watsan
",31390,"UNICEF, Ambassade de France aux Comores",62546,62546,
11,nov.-05,Comores,Volcan ,"Karthala, Grande Comore",,,,1,,,,,,,6,,,,,,,,,,,,,,,,,,,,,"Nettoyage et protection de 260 citernes communautaires et de 13 citernes de Centres de Santé de District
6 RH : 2 médicaux, 3 watsan, 1 logisticien",202980,"CR974, CG974, Région PACA (CR PACA)",68500,68500,
12,janv.-06,Réunion,Epidémie ,chikungunya,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,"Soutien logistique à la DD CRF 
Approvisionnement et distribution de 30 000 répulsifs et de  moustiquaires
Sensibilisation à la maladie et soutien psychosocial auprès des personnes démunies (maraudes) ",36000,"CG974, DRASS",368712,368712,
